NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 37.54   Longitude 126.96
Elevation (meters): Average for one degree lat/lon region = 122   Site = na
Climate zone: 5 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1990 12 20    2.27
1990 12 21    1.81
1990 12 22    1.73
1990 12 23    2.94
1990 12 24    3.01
1990 12 25    0.86
1990 12 26    2.18
1990 12 27    2.35
1990 12 28    2.28
1990 12 29    2.71
1990 12 30    2.79
1990 12 31    2.79
1991 01 01    1.66
1991 01 02    3.36
1991 01 03    2.26
1991 01 04    3.01
1991 01 05    3.07
1991 01 06    2.61
1991 01 07    2.14
1991 01 08    2.87
1991 01 09    2.79
1991 01 10    2.98
1991 01 11    2.54
1991 01 12    3.30
1991 01 13    3.37
1991 01 14    2.23
1991 01 15    2.81
1991 01 16    2.11
1991 01 17    3.54
1991 01 18    3.59
1991 01 19    3.24
1991 01 20    3.40
1991 01 21    2.56
1991 01 22    2.31
1991 01 23    3.21
1991 01 24    1.46
1991 01 25    3.52
1991 01 26    3.80
1991 01 27    3.86
1991 01 28    3.54
1991 01 29    3.93
1991 01 30    4.05
1991 01 31    4.15
1991 02 01    4.10
1991 02 02    4.08
1991 02 03    3.32
1991 02 04    4.12
1991 02 05    4.19
1991 02 06    3.77
1991 02 07    1.87
1991 02 08    3.93
1991 02 09    3.02
1991 02 10    3.71
1991 02 11    3.47
1991 02 12    4.36
1991 02 13    3.52
1991 02 14    2.94
1991 02 15    1.83
1991 02 16    4.10
1991 02 17    3.27
1991 02 18    1.97
1991 02 19    4.61
1991 02 20    2.46
1991 02 21    3.63
1991 02 22    3.52
1991 02 23    4.00
1991 02 24    5.14
1991 02 25    5.10
1991 02 26    3.34
1991 02 27    1.12
1991 02 28    4.47
1991 03 01    4.13
1991 03 02    4.95
1991 03 03    5.57
1991 03 04    4.04
1991 03 05    4.60
1991 03 06    2.64
1991 03 07    2.75
1991 03 08    0.95
1991 03 09    2.66
1991 03 10    1.41
1991 03 11    2.16
1991 03 12    5.36
1991 03 13    4.98
1991 03 14    6.23
1991 03 15    2.84
1991 03 16    2.91
1991 03 17    5.86
1991 03 18    3.65
1991 03 19    5.11
1991 03 20    4.11
1991 03 21    3.49
1991 03 22    5.03
1991 03 23    5.28
1991 03 24    4.50
1991 03 25    5.71
1991 03 26    5.24
1991 03 27    1.22
1991 03 28    4.87
1991 03 29    3.85
1991 03 30    5.92
1991 03 31    6.56
1991 04 01    6.60
1991 04 02    6.14
1991 04 03    5.74
1991 04 04    5.61
1991 04 05    5.03
1991 04 06    5.19
1991 04 07    6.15
1991 04 08    5.35
1991 04 09    6.22
1991 04 10    2.02
1991 04 11    5.62
1991 04 12    2.87
1991 04 13    4.15
1991 04 14    7.11
1991 04 15    5.18
1991 04 16    7.20
1991 04 17    1.75
1991 04 18    5.54
1991 04 19    6.61
1991 04 20    7.53
1991 04 21    6.86
1991 04 22    5.67
1991 04 23    6.79
1991 04 24    6.62
1991 04 25    3.37
1991 04 26    7.83
1991 04 27    7.21
1991 04 28    4.63
1991 04 29    7.34
1991 04 30    6.90
1991 05 01    6.65
1991 05 02    5.84
1991 05 03    7.20
1991 05 04    7.03
1991 05 05    7.09
1991 05 06    1.36
1991 05 07    2.32
1991 05 08    6.25
1991 05 09    7.25
1991 05 10    6.52
1991 05 11    5.93
1991 05 12    7.00
1991 05 13    5.10
1991 05 14    6.62
1991 05 15    5.07
1991 05 16    4.88
1991 05 17    7.60
1991 05 18    7.04
1991 05 19    4.72
1991 05 20    6.19
1991 05 21    7.19
1991 05 22    7.07
1991 05 23    7.04
1991 05 24    1.68
1991 05 25    1.17
1991 05 26    0.98
1991 05 27    4.88
1991 05 28    5.22
1991 05 29    7.87
1991 05 30    3.89
1991 05 31    7.47
1991 06 01    5.71
1991 06 02    5.29
1991 06 03    2.63
1991 06 04    5.54
1991 06 05    5.74
1991 06 06    7.04
1991 06 07    7.23
1991 06 08    5.79
1991 06 09    2.14
1991 06 10    3.51
1991 06 11    1.70
1991 06 12    5.97
1991 06 13    7.74
1991 06 14    7.27
1991 06 15    6.49
1991 06 16    5.83
1991 06 17    6.45
1991 06 18    6.64
1991 06 19    6.30
1991 06 20    5.37
1991 06 21    6.31
1991 06 22    6.34
1991 06 23    5.89
1991 06 24    6.09
1991 06 25    6.45
1991 06 26    4.89
1991 06 27    4.35
1991 06 28    3.87
1991 06 29    2.42
1991 06 30    5.16
1991 07 01    4.06
1991 07 02    6.12
1991 07 03    6.04
1991 07 04    6.33
1991 07 05    7.15
1991 07 06    6.38
1991 07 07    1.19
1991 07 08    3.06
1991 07 09    1.68
1991 07 10    5.84
1991 07 11    2.64
1991 07 12    5.94
1991 07 13    5.80
1991 07 14    3.94
1991 07 15    1.16
1991 07 16    4.19
1991 07 17    3.92
1991 07 18    4.84
1991 07 19    0.72
1991 07 20    2.36
1991 07 21    1.04
1991 07 22    2.75
1991 07 23    2.98
1991 07 24    1.47
1991 07 25    0.37
1991 07 26    4.54
1991 07 27    4.90
1991 07 28    5.42
1991 07 29    4.35
1991 07 30    5.55
1991 07 31    1.61
1991 08 01    3.08
1991 08 02    2.73
1991 08 03    3.89
1991 08 04    1.30
1991 08 05    6.66
1991 08 06    6.14
1991 08 07    6.25
1991 08 08    5.31
1991 08 09    2.73
1991 08 10    4.42
1991 08 11    6.84
1991 08 12    6.07
1991 08 13    6.09
1991 08 14    6.05
1991 08 15    5.61
1991 08 16    5.29
1991 08 17    5.49
1991 08 18    5.61
1991 08 19    5.86
1991 08 20    6.09
1991 08 21    6.75
1991 08 22    3.44
1991 08 23    0.61
1991 08 24    2.29
1991 08 25    4.83
1991 08 26    6.04
1991 08 27    6.81
1991 08 28    6.83
1991 08 29    6.16
1991 08 30    3.92
1991 08 31    5.22
1991 09 01    5.25
1991 09 02    3.55
1991 09 03    0.43
1991 09 04    0.36
1991 09 05    2.29
1991 09 06    3.76
1991 09 07    5.72
1991 09 08    5.47
1991 09 09    5.16
1991 09 10    3.29
1991 09 11    1.84
1991 09 12    4.65
1991 09 13    5.98
1991 09 14    5.21
1991 09 15    5.80
1991 09 16    5.63
1991 09 17    4.34
1991 09 18    5.71
1991 09 19    5.07
1991 09 20    4.41
1991 09 21    5.13
1991 09 22    4.83
1991 09 23    3.06
1991 09 24    4.13
1991 09 25    3.42
1991 09 26    1.63
1991 09 27    1.49
1991 09 28    5.38
1991 09 29    5.20
1991 09 30    3.45
1991 10 01    5.35
1991 10 02    4.55
1991 10 03    1.63
1991 10 04    4.87
1991 10 05    4.37
1991 10 06    4.65
1991 10 07    5.16
1991 10 08    4.56
1991 10 09    4.82
1991 10 10    4.72
1991 10 11    4.66
1991 10 12    3.67
1991 10 13    4.34
1991 10 14    4.88
1991 10 15    3.58
1991 10 16    1.28
1991 10 17    4.65
1991 10 18    4.11
1991 10 19    4.03
1991 10 20    3.93
1991 10 21    4.03
1991 10 22    4.34
1991 10 23    3.38
1991 10 24    2.80
1991 10 25    3.42
1991 10 26    2.52
1991 10 27    3.30
