NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude -2.2   Longitude -65.7
Elevation (meters): Average for one degree lat/lon region = 55   Site = na
Climate zone: 1 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1991 03 17    4.94
1991 03 18    2.86
1991 03 19    5.91
1991 03 20    6.75
1991 03 21    4.30
1991 03 22    5.24
1991 03 23    5.70
1991 03 24    5.89
1991 03 25    5.18
1991 03 26    0.47
1991 03 27    4.18
1991 03 28    3.33
1991 03 29    3.30
1991 03 30    5.06
1991 03 31    3.85
1991 04 01    5.92
1991 04 02    4.44
1991 04 03    5.72
1991 04 04    5.74
1991 04 05    5.50
1991 04 06    5.36
1991 04 07    5.50
1991 04 08    5.35
1991 04 09    4.29
1991 04 10    4.08
1991 04 11    4.93
1991 04 12    5.35
1991 04 13    3.93
1991 04 14    1.55
1991 04 15    4.94
1991 04 16    4.92
1991 04 17    5.21
1991 04 18    2.19
1991 04 19    5.84
1991 04 20    4.57
1991 04 21    4.34
1991 04 22    4.40
1991 04 23    5.93
1991 04 24    1.93
1991 04 25    5.60
1991 04 26    4.32
1991 04 27    3.02
1991 04 28    5.35
1991 04 29    2.20
1991 04 30    4.85
1991 05 01    6.14
1991 05 02    3.67
1991 05 03    4.32
1991 05 04    4.45
1991 05 05    4.68
1991 05 06    3.31
1991 05 07    5.10
1991 05 08    1.33
1991 05 09    3.17
1991 05 10    4.53
1991 05 11    5.25
1991 05 12    4.65
1991 05 13    3.66
1991 05 14    4.72
1991 05 15    2.37
1991 05 16    4.14
1991 05 17    2.34
1991 05 18    4.27
1991 05 19    2.90
1991 05 20    5.15
1991 05 21    2.97
1991 05 22    4.96
1991 05 23    2.56
1991 05 24    5.31
1991 05 25    4.65
1991 05 26    4.85
1991 05 27    6.43
1991 05 28    5.23
1991 05 29    4.78
1991 05 30    5.38
1991 05 31    3.75
1991 06 01    4.77
1991 06 02    2.48
1991 06 03    4.14
1991 06 04    4.86
1991 06 05    4.96
1991 06 06    2.91
1991 06 07    3.83
1991 06 08    2.67
1991 06 09    1.87
1991 06 10    2.33
1991 06 11    2.52
1991 06 12    4.86
1991 06 13    3.49
1991 06 14    5.34
1991 06 15    4.48
1991 06 16    5.15
1991 06 17    3.47
1991 06 18    4.15
1991 06 19    4.69
1991 06 20    5.12
1991 06 21    5.10
1991 06 22    4.55
1991 06 23    3.33
1991 06 24    2.82
1991 06 25    3.15
1991 06 26    4.36
1991 06 27    5.35
1991 06 28    1.59
1991 06 29    3.79
1991 06 30    2.20
1991 07 01    2.94
1991 07 02    2.53
1991 07 03    1.73
1991 07 04    3.84
1991 07 05    3.74
1991 07 06    3.68
1991 07 07    4.37
1991 07 08    5.22
1991 07 09    4.43
1991 07 10    5.11
1991 07 11    6.19
1991 07 12    5.32
1991 07 13    5.21
1991 07 14    3.43
1991 07 15    2.21
1991 07 16    3.59
1991 07 17    2.91
1991 07 18    4.52
1991 07 19    4.33
1991 07 20    4.52
1991 07 21    5.82
1991 07 22    5.34
1991 07 23    5.61
1991 07 24    4.39
1991 07 25    4.11
1991 07 26    4.23
1991 07 27    2.30
1991 07 28    5.56
1991 07 29    3.67
1991 07 30    3.05
1991 07 31    4.91
1991 08 01    5.02
1991 08 02    5.50
1991 08 03    2.29
1991 08 04    2.49
1991 08 05    5.44
1991 08 06    5.10
