NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 62.4   Longitude -77.9
Elevation (meters): Average for one degree lat/lon region = 63   Site = na
Climate zone: 8 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1990 11 17    0.37
1990 11 18    0.20
1990 11 19    0.28
1990 11 20    0.21
1990 11 21    0.20
1990 11 22    0.21
1990 11 23    0.26
1990 11 24    0.19
1990 11 25    0.14
1990 11 26    0.23
1990 11 27    0.17
1990 11 28    0.16
1990 11 29    0.16
1990 11 30    0.16
1990 12 01    0.20
1990 12 02    0.16
1990 12 03    0.14
1990 12 04    0.16
1990 12 05    0.13
1990 12 06    0.10
1990 12 07    0.13
1990 12 08    0.18
1990 12 09    0.09
1990 12 10    0.08
1990 12 11    0.13
1990 12 12    0.09
1990 12 13    0.09
1990 12 14    0.08
1990 12 15    0.08
1990 12 16    0.08
1990 12 17    0.12
1990 12 18    0.10
1990 12 19    0.10
1990 12 20    0.07
1990 12 21    0.08
1990 12 22    0.10
1990 12 23    0.11
1990 12 24    0.07
1990 12 25    0.07
1990 12 26    0.08
1990 12 27    0.09
1990 12 28    0.09
1990 12 29    0.12
1990 12 30    0.08
1990 12 31    0.10
1991 01 01    0.10
1991 01 02    0.10
1991 01 03    0.14
1991 01 04    0.15
1991 01 05    0.14
1991 01 06    0.10
1991 01 07    0.12
1991 01 08    0.16
1991 01 09    0.13
1991 01 10    0.16
1991 01 11    0.15
1991 01 12    0.19
1991 01 13    0.19
1991 01 14    0.18
1991 01 15    0.21
1991 01 16    0.20
1991 01 17    0.18
1991 01 18    0.27
1991 01 19    0.30
1991 01 20    0.19
1991 01 21    0.21
1991 01 22    0.22
1991 01 23    0.26
1991 01 24    0.36
1991 01 25    0.29
1991 01 26    0.31
1991 01 27    0.28
1991 01 28    0.35
1991 01 29    0.38
1991 01 30    0.36
1991 01 31    0.36
1991 02 01    0.44
1991 02 02    0.41
1991 02 03    0.49
1991 02 04    0.54
1991 02 05    0.53
1991 02 06    0.49
1991 02 07    0.57
1991 02 08    0.71
1991 02 09    0.54
1991 02 10    0.17
1991 02 11    0.80
1991 02 12    0.77
1991 02 13    0.07
1991 02 14    0.14
1991 02 15    0.02
1991 02 16    0.77
1991 02 17    0.24
1991 02 18    1.05
1991 02 19    0.85
1991 02 20    0.77
1991 02 21    0.27
1991 02 22    0.57
1991 02 23    0.46
1991 02 24    0.18
1991 02 25    0.68
1991 02 26    0.24
1991 02 27    0.98
1991 02 28    0.52
1991 03 01    0.52
1991 03 02    0.78
1991 03 03    0.86
1991 03 04    0.35
1991 03 05    1.27
1991 03 06    1.02
1991 03 07    0.74
